Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Tracey Lee Belbin,F,21,169,67,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Mathew Belcher,M,29,173,62,Australia,2012,Summer,London,Sailing,Sailing Men's Two Person Dinghy,Gold
Kevin John Berry,M,19,172,71,Australia,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Butterfly,Gold
"Deborah Ann ""Debbie"" Bowman-Sullivan",F,25,165,57,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Steven John Bradbury,M,28,178,80,Australia,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
Michael Gene Brennan,M,28,182,79,Australia,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
Scott Michael Brennan,M,25,193,89,Australia,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold
Torah Jane Bright (-Thomson),F,23,161,57,Australia,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Halfpipe,Gold
Neil Brooks,M,17,198,96,Australia,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Travis Neil Brooks,M,24,186,79,Australia,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
Graeme Allen Brown,M,25,177,75,Australia,2004,Summer,Athina,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Graeme Allen Brown,M,25,177,75,Australia,2004,Summer,Athina,Cycling,Cycling Men's Madison,Gold
Ian Sterry Browne,M,25,185,59,Australia,1956,Summer,Melbourne,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Sharon Lee Buchanan-Patmore,F,25,168,58,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Lauren Chantel Burns (-Muller),F,26,165,49,Australia,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Flyweight,Gold
Tom Burton,M,26,180,81,Australia,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy,Gold
Dean William Butler,M,27,172,72,Australia,2004,Summer,Athina,Hockey,Hockey Men's Hockey,Gold
Maureen Caird (-Jones),F,17,165,52,Australia,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,Gold
Ashley John Callus,M,21,188,85,Australia,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Bronte Campbell,F,22,179,58,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Cate Natalie Campbell,F,20,186,67,Australia,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Cate Natalie Campbell,F,24,186,67,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Alisa Peta Camplin (-Warner),F,27,157,49,Australia,2002,Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
